Область,Район,Название,Описание
Хабаровский край,Имени Лазо,База отдыха «Сплавной участок»,База отдыха «Сплавной участок» расположена в 130 километрах к югу от Хабаровска в поселке Третий сплавной на берегу горной реки Хор. 
Орловская область,Малоархангельский,База отдыха «Лагуна»,База отдыха «Лагуна» расположена в 2 километрах от города Малоархангельска на живописном пруду «Прогресс». База окружена сосновым бором…
Ростовская область,,Дарьевский пруд,Недалеко от Таганрога расположен Дарьевский пруд — отличное место для отдыха на природе и рыбалки.
Тульская область,Новомосковский,Шатское водохранилище,"Шатское водохранилище &mdash; искусственный водоём, образованный на реке Шат в Тульской области для удовлетворения потребностей в воде предприятий города…"
Ленинградская область,Выборгский,Озеро Большое Симагинское,Одно из самых живописных озер Ленинградской области 
Мурманская область,Кольский,База «Папа»,"Благодаря уникальному соседству моря, реки и озер на базе «Папа» в любое время года рыбалка будет удачной. Зимой и весной - озерная и речная рыбалка (форель…"
Алтайский край,Завьяловский,"Озеро Мостовое, Завьяловский район","В многочисленных озерах Завьяловского района обитает множество рыбы, а озеро Мостовое - одно из самых популярных мест круглогодичной рыбалки. Зимой…"
Ленинградская область,Выборгский,Озеро Бурное,"Недалеко от поселка Зайцево находится озеро Бурное, вытянувшееся в длину на 4 километра. Его ширина разнится от нескольких десятков метров в узких заливах до 1,5 километров в центральном плесе. "
Краснодарский край,,Турбаза «Клевое место»,"Заядлые рыбаки оценят богатые рыбой пруды «Клевого места» общей протяженностью 4 км, вдоль которых для удобства организован проезд с покрытием. К услугам…"
Владимирская область,Петушинский,Агро-туристический комплекс «Березовый рай»  ,"Комплекс располагается на берегу озера, в живописном месте, недалеко от старинного русского города Покров. Место очень красивое, впереди гладь озера, за спиной…"
Тульская область,Арсеньевский,Арсеньевское охотхозяйство,"Охотхозяйство расположено в 120 километрах юго-западнее Тулы. Его площадь - 20,5 тысяч гектар, из которых около половины - леса, славящиеся обилием грибов. В…"
Тульская область,Киреевский,Гамовский пруд,"Гамовский пруд велик, но не очень глубок. До 2006 года на нем базировалось рыбное хозяйство - разводили карпа, толстолобика, сазана. Сейчас рыбаки в основном…"
Тульская область,Новомосковский,Любовское водохранилище,Любовское водохранилище построено на реке Любовка близ города Новомосковска. Площадь водохранилища - 280 га. Вода водохранилища используется в технологических…
Тульская область,Арсеньевский,Монаенское охотхозяйство,"Площадь Монаенского охотхозяйства - 42 тыс. га лесостепных угодий. Здесь водятся лось, кабан, косуля, лиса, заяц, а также пернатая дичь. Охота ведется весной…"
Тульская область,Веневский,Охотхозяйство «Сармат»,"Венёвское охотничье хозяйство расположено на юге-западе района, в 160 км от МКАД по автодороге Москва-Воронеж (М4) и в 60 км от Тулы, по автодороге Тула-Венёв…"
